dateMonth,dateWeekday,dateQuarter,operationType,amount,oldbalanceOrig,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
1,2,1,2,19456.52,0,0,400066.73,0,0
1,2,1,1,43548.29,2791207.9,2834756.18,82359.7,38811.42,0
1,2,1,2,290148.53,0,0,1008966.62,1362687.4,0
1,2,1,2,123225.59,134866.95,11641.36,381,123606.59,0
1,2,1,5,801863.31,1191584.93,389721.61,2528711.98,3225319,0
1,2,1,4,5396.62,96009.57,90612.95,0,0,0
1,2,1,4,8394.99,310450.4,302055.42,0,0,0
1,2,1,1,496485.91,3492646.54,3989132.45,1171414.05,318323.43,0
1,2,1,1,215071.66,5499909.83,5714981.48,26211.39,0,0
1,2,1,1,290002.35,5568695.54,5858697.89,652290.45,277219.24,0
1,2,1,4,17514.74,2792,0,0,0,0
1,2,1,2,307039.36,10014,0,31649.62,825940.86,0
1,2,1,1,61914.49,925,62839.49,0,0,0
1,2,1,4,1002.33,7014,6011.67,0,0,0
1,2,1,1,154089.79,5112915.32,5267005.11,1347989.68,1995749.77,0
1,2,1,2,291768.6,100229,0,0,543397.3,0
1,2,1,1,156620.81,6828059.92,6984680.74,1300650.24,1144029.43,0
1,2,1,4,941.66,0,0,0,0,0
1,2,1,4,21745.62,0,0,0,0,0
1,2,1,4,7247.53,0,0,0,0,0
1,2,1,4,11434.53,0,0,0,0,0
1,2,1,4,7745.57,232760.93,225015.36,0,0,0
1,2,1,4,3608.41,11150,7541.59,0,0,0
1,2,1,4,25410.99,280,0,0,0,0
1,2,1,1,86072.98,7947164.04,8033237.02,10280722.71,10194649.73,0
1,2,1,2,131457,0,0,436543.72,1183456.48,0
1,2,1,5,147675.71,478,0,0,1354620.49,0
1,2,1,4,7582.42,51674.19,44091.77,0,0,0
1,2,1,4,1143.34,21890,20746.66,0,0,0
1,2,1,4,243.62,12094,11850.38,0,0,0
1,2,1,1,36647.59,2136,38783.59,0,0,0
1,2,1,4,15756.7,201488,185731.3,0,0,0
1,2,1,2,39016.94,176818.12,137801.18,0,39016.94,0
1,2,1,1,9405.21,7096134.23,7105539.44,122117.39,0,0
1,2,1,2,451499.25,33372,0,0,451499.25,0
1,2,1,4,209.74,11784,11574.26,0,0,0
1,2,1,4,9809.72,192171.35,182361.63,0,0,0
1,2,1,4,18847.03,0,0,0,0,0
1,2,1,2,480168.87,0,0,568361.3,755946.33,0
1,2,1,4,4415.41,1380787.32,1376371.91,0,0,0
1,2,1,2,405862.32,102980,0,2070969.6,2476831.92,0
1,2,1,4,3212.49,7786,4573.51,0,0,0
1,2,1,4,14572.51,86271.25,71698.74,0,0,0
1,2,1,4,2693.56,535054.62,532361.05,0,0,0
1,2,1,4,15684.6,10985,0,0,0,0
1,2,1,4,191.73,1077,885.27,0,0,0
1,2,1,4,20547.38,29786.99,9239.62,0,0,0
1,2,1,2,1730.07,18709,16978.93,405080.04,406810.11,0
1,2,1,2,8760.71,0,0,7347209.57,7416184.79,0
1,2,1,4,1020.89,75771,74750.11,0,0,0
1,2,1,4,1661.01,0,0,0,0,0
1,2,1,4,39393.33,167378,127984.67,0,0,0
1,2,1,1,114437.38,10420698.18,10535135.56,207898.95,4415.09,0
1,2,1,4,5300.76,0,0,0,0,0
1,2,1,4,11955.71,380730,368774.29,0,0,0
1,2,1,1,20042.03,3625299.99,3645342.02,56008.28,805294.76,0
1,2,1,2,627590.94,157550,0,0,704381.52,0
1,2,1,2,120419.42,0,0,187709.69,413247.96,0
1,2,1,2,18165.21,0,0,1142317.43,1160482.64,0
1,2,1,5,68630.15,26352.78,0,148688.71,217318.86,0
1,2,1,2,197716.25,343837,146120.75,0,393683.58,0
1,2,1,2,33643.16,11383,0,30947,47751.43,0
1,2,1,4,868.9,0,0,0,0,0
1,2,1,1,325274.54,21006,346280.54,42828,0,0
1,2,1,4,467.06,0,0,0,0,0
1,2,1,1,96163.81,437793.5,533957.31,10525,0,0
1,2,1,5,1783915.3,0,0,2160569.32,5229767.02,0
1,2,1,4,2158.36,119537.76,117379.4,0,0,0
1,2,1,5,239811.58,0,0,1450778.13,1690589.71,0
1,2,1,2,280478.04,1219893.33,939415.3,3641365.54,4208214.43,0
1,2,1,2,70480.64,0,0,1092331.05,10306.77,0
1,2,1,4,4259.61,12127,7867.39,0,0,0
1,2,1,4,3960.86,52775,48814.14,0,0,0
1,2,1,1,13879.23,4073677.98,4087557.21,84553.29,70674.05,0
1,2,1,4,3572.99,2818,0,0,0,0
1,2,1,2,164576.89,616,0,1214584.78,1081208.14,0
1,2,1,1,185977.76,5460,191437.76,900888.58,40027.63,0
1,2,1,5,293242.88,579,0,0,375835.62,0
1,2,1,2,180322.87,0,0,181683.51,362006.37,0
1,2,1,4,312.68,484487,484174.32,0,0,0
1,2,1,2,131101.78,50414.01,0,1653865.73,1784967.51,0
1,2,1,2,122362.24,21441,0,69552.59,191914.82,0
1,2,1,2,204922.38,0,0,929447.29,989414.02,0
1,2,1,1,142295.74,40479,182774.74,18808.92,0,0
1,2,1,4,4322.54,7604.72,3282.17,0,0,0
1,2,1,1,221328.59,204107,425435.59,0,0,0
1,2,1,1,12574.32,3065879.67,3078454,532421.33,47342.1,0
1,2,1,2,203633.62,12351,0,0,652703.09,0
1,2,1,1,211221.68,2150338.26,2361559.94,1916315.02,2226811.03,0
1,2,1,4,8872.48,351343.82,342471.34,0,0,0
1,2,1,4,41750.34,150731.38,108981.04,0,0,0
1,2,1,3,3371.46,21139,17767.54,732747.24,736118.71,0
1,2,1,4,18298.84,0,0,0,0,0
1,2,1,4,12917.05,335954,323036.95,0,0,0
1,2,1,2,17125.52,123512.04,106386.51,252999.9,0,0
1,2,1,4,9725.76,0,0,0,0,0
1,2,1,2,100415.74,0,0,326026.88,174238.7,0
1,2,1,2,272195.62,332,0,213635.28,577555,0
1,2,1,1,81530.93,28689.4,110220.33,90952.8,9421.87,0
1,2,1,4,18278.65,82181,63902.35,0,0,0
1,2,1,2,181055.98,34821,0,7087,1573288.69,0
1,2,1,4,8100.65,419224.22,411123.57,0,0,0
1,2,1,4,37758.96,1685453.25,1647694.3,0,0,0
1,2,1,1,288517.02,4982707.02,5271224.04,3622213.47,7414255.73,0
1,2,1,4,18365.12,0,0,0,0,0
1,2,1,2,24875.02,0,0,60899.67,85774.69,0
1,2,1,2,193099.18,11524,0,0,193099.18,0
1,2,1,2,240967.41,0,0,1573288.69,3246825.5,0
1,2,1,4,3041.41,0,0,0,0,0
1,2,1,2,116215.93,0,0,2234266.77,2907976.74,0
1,2,1,2,26053.08,2079,0,20428,22904.07,0
1,2,1,2,99804.08,976205,876400.92,0,99804.08,0
1,2,1,2,67104.67,31327,0,3528728.35,3622590.61,0
1,2,1,5,965412.39,0,0,2355526.49,3380689.17,0
1,2,1,2,21019.06,80455,59435.94,18867,2870346.87,0
1,2,1,4,38778.04,111648,72869.96,0,0,0
1,2,1,5,1303757.09,0,0,1616930.57,2494244.32,0
1,2,1,2,25851.4,106890,81038.6,104533.82,7313.81,0
1,2,1,4,8218.42,939834.03,931615.61,0,0,0
1,2,1,1,1478.27,529446.33,530924.61,203728.23,202249.96,0
1,2,1,2,191142.69,1568,0,10983,202125.69,0
1,2,1,2,80151.24,0,0,263368.99,657521.99,0
1,2,1,1,228115.95,10889,239004.95,446734.34,1388195.29,0
1,2,1,4,8381.53,1338762.54,1330381.01,0,0,0
1,2,1,4,5111.64,30866,25754.36,0,0,0
1,2,1,5,250020,0,0,512675.31,4463342.32,0
1,2,1,4,2926.83,34851,31924.17,0,0,0
1,2,1,1,96076.72,1959015.13,2055091.85,2055655.85,2265853.97,0
1,2,1,5,741449.27,107550,0,20837,12141425.39,0
1,2,1,5,27247.05,0,0,145332,172579.05,0
1,2,1,1,213456.86,1689629.69,1903086.55,423374.01,123668.83,0
1,2,1,2,337178.69,53733,0,65938,939578.33,0
1,2,1,4,10349.73,183,0,0,0,0
1,2,1,4,11126,14573,3447,0,0,0
1,2,1,2,79574.92,0,0,248731,1359980.45,0
1,2,1,1,312937.86,13024.97,325962.83,326922.68,48416.45,0
1,2,1,2,302067.04,0,0,1059148.24,807759.84,0
1,2,1,1,87170.82,6186678.7,6273849.52,14654785,14299084.37,0
1,2,1,2,559518.84,7370,0,28305.9,587824.75,0
1,2,1,2,114317.37,0,0,3944564.76,4415579.73,0
1,2,1,1,471612.12,1903996.02,2375608.13,546047.03,32133.12,0
1,2,1,1,146606.63,940427.13,1087033.76,2601210.74,4937135.42,0
1,2,1,5,2917742.88,646,0,3824350.23,7392850.64,0
1,2,1,4,7506.53,0,0,0,0,0
1,2,1,4,4332.11,7952,3619.89,0,0,0
1,2,1,2,63545.26,0,0,100750,164295.26,0
1,2,1,2,195554.58,0,0,229306.03,424860.61,0
1,2,1,4,1518.8,4500739.65,4499220.85,0,0,0
1,2,1,2,73418.94,20672.56,0,227729.01,794432.62,0
1,2,1,4,536.57,298204,297667.43,0,0,0
1,2,1,4,23253.49,0,0,0,0,0
1,2,1,2,146023.35,849,0,141284,287307.35,0
1,2,1,2,95383.66,371,0,30950,0,0
1,2,1,2,126054.13,0,0,148419.34,798058.05,0
1,2,1,1,483816.42,7429130.65,7912947.07,843566.34,646953.51,0
1,2,1,2,291889.05,224491,0,0,291889.05,0
1,2,1,1,285985.65,22733009.35,23018995,13197141.89,12296946.78,0
1,2,1,2,206569.02,0,0,998275.51,672906.86,0
1,2,1,4,7097.65,0,0,0,0,0
1,2,1,4,16704.36,508121.58,491417.22,0,0,0
1,2,1,4,8201.71,89403.74,81202.03,0,0,0
1,2,1,4,1901.28,199855,197953.72,0,0,0
1,2,1,4,681.69,3819,3137.31,0,0,0
1,2,1,4,16410.87,0,0,0,0,0
1,2,1,4,12363.37,2369160.89,2356797.53,0,0,0
1,2,1,4,4978.11,1882859.47,1877881.35,0,0,0
1,2,1,1,217951.41,4892988.54,5110939.95,343788.42,1930417.62,0
1,2,1,5,800775.05,11117,0,28324.85,829099.9,0
1,2,1,1,6165.22,19113231.05,19119396.27,32328,385010.41,0
1,2,1,1,183677.38,20152,203829.38,297368.69,113691.31,0
1,2,1,2,31525.44,3757.18,0,798289.98,3856640.87,0
1,2,1,1,99193.2,15035,114228.2,66151.42,0,0
1,2,1,1,311717.85,503873.38,815591.23,537842.89,226125.04,0
1,2,1,4,619.06,0,0,0,0,0
1,2,1,4,4482.89,349,0,0,0,0
1,2,1,1,6168.28,16212,22380.28,304726.46,412976.61,0
1,2,1,4,26041.23,0,0,0,0,0
1,2,1,1,181664.48,1994326.12,2175990.6,450674.86,145491.83,0
1,2,1,4,9948.87,25215,15266.13,0,0,0
1,2,1,4,8053.3,0,0,0,0,0
1,2,1,4,2578.03,169784,167205.97,0,0,0
1,2,1,4,4919.3,0,0,0,0,0
1,2,1,1,402396.23,134706.55,537102.78,1356388.99,4389693.8,0
1,2,1,4,20208.31,86227.63,66019.33,0,0,0
1,2,1,2,117526.65,0,0,157927.97,3434503.58,0
1,2,1,2,54298.65,0,0,3042403.17,5052225.95,0
1,2,1,4,2617.28,5032,2414.72,0,0,0
1,2,1,2,268094.2,0,0,532928.16,1120683.69,0
1,2,1,1,329684.87,1158765.01,1488449.88,1196123.98,866439.11,0
1,2,1,2,410748.03,0,0,853808.02,1522032.15,0
1,2,1,2,366090.24,179903,0,0,321104.85,0
1,2,1,4,10800.47,0,0,0,0,0
1,2,1,4,23684.93,51025,27340.07,0,0,0
1,2,1,1,107730.87,1457897.44,1565628.31,5477929.34,6671931.33,0
1,2,1,4,13811.83,347,0,0,0,0
1,2,1,4,4470.86,16389,11918.14,0,0,0
1,2,1,2,453723.04,375214.27,0,647685.38,1373656.47,0
1,2,1,2,540080.01,0,0,1159701.47,1980000.62,0
1,2,1,4,2648.55,0,0,0,0,0
1,2,1,4,19724.68,1070407.39,1050682.71,0,0,0
1,2,1,2,277728.7,548383.66,270654.96,5469828.55,5785985.71,0
1,2,1,4,18799.28,16224,0,0,0,0
1,2,1,2,268097.19,0,0,574012.6,1358924.97,0
1,2,1,5,359944.36,0,0,1258586.37,3236473.11,0
1,2,1,2,126032.42,0,0,809944.74,2161141.68,0
1,2,1,4,4878.22,15416,10537.78,0,0,0
1,2,1,1,185898.09,4971781.82,5157679.91,323916.29,205444.5,0
1,2,1,4,8476.86,20075,11598.14,0,0,0
1,2,1,2,324986.5,90682,0,5298,1079464.33,0
1,2,1,2,66908.47,0,0,100666,167574.47,0
1,2,1,2,330492.47,82017,0,0,123085.85,0
1,2,1,3,2415.4,493097,490681.6,158711.18,307203.8,0
1,2,1,2,414355.28,32677,0,14140.07,1144029.43,0
1,2,1,2,35564.06,186,0,119582.06,413129.52,0
1,2,1,5,2416547.94,0,0,2498734.39,4870764.95,0
1,2,1,2,32838.1,0,0,1428999.19,1252958.73,0
1,2,1,5,1032930.05,0,0,14723885.17,17258590.84,0
1,2,1,1,285960.43,545163.08,831123.51,3678659.15,3102896.2,0
1,2,1,1,167766.48,4134953.38,4302719.86,666931.25,499164.77,0
1,2,1,1,150419.35,35771,186190.35,114647,0,0
1,2,1,1,142321.33,22292662.35,22434983.68,354038.26,58003.36,0
1,2,1,2,268740.08,0,0,408262.26,1462502.15,0
1,2,1,4,10378.39,274742,264363.61,0,0,0
1,2,1,5,666059.25,72301,0,0,1629481.71,0
1,2,1,4,62.03,18426.75,18364.72,0,0,0
1,3,1,1,398722.41,52353,451075.41,3619608.33,3220885.92,0
1,3,1,4,4578.33,2122525.12,2117946.79,0,0,0
1,3,1,1,89730.83,692,90422.83,66226.82,0,0
1,3,1,2,67933.45,6834,0,0,67933.45,0
1,3,1,4,3356.88,0,0,0,0,0
1,3,1,4,859.37,0,0,0,0,0
1,3,1,4,20442.39,0,0,0,0,0
1,3,1,5,1021690.1,0,0,1941140.63,3962131.82,0
1,3,1,4,11231.74,301720,290488.26,0,0,0
1,3,1,4,25608.11,4434432.97,4408824.86,0,0,0
1,3,1,4,7218.17,79453,72234.83,0,0,0
1,3,1,4,1652.21,0,0,0,0,0
1,3,1,2,132178.79,721898.58,589719.8,903982.77,0,0
1,3,1,2,330069.09,0,0,636557.73,5465400.62,0
1,3,1,4,20479.11,933.21,0,0,0,0
1,3,1,2,143873.73,453621,309747.27,991996.97,1135870.7,0
1,3,1,1,482842.2,2662477.37,3145319.57,598739.47,25362.71,0
1,3,1,4,17145.84,223901.17,206755.33,0,0,0
1,3,1,4,16386.37,0,0,0,0,0
1,3,1,4,3859.38,225707.24,221847.86,0,0,0
1,3,1,1,99425.75,26652,126077.75,3071176.4,2800309.54,0
1,3,1,4,4281.8,21872,17590.2,0,0,0
1,3,1,4,3955.05,88521,84565.95,0,0,0
1,3,1,5,810561.98,0,0,4560859.71,11087190.62,0
1,3,1,4,7793,45422.5,37629.5,0,0,0
1,3,1,4,10704.2,9859,0,0,0,0
1,3,1,4,46272.4,40642.86,0,0,0,0
1,3,1,4,13452.48,69241,55788.52,0,0,0
1,3,1,1,90290.11,7012788.53,7103078.64,1858613.54,1322475.93,0
1,3,1,4,2434.6,0,0,0,0,0
1,3,1,4,15556.94,105258,89701.06,0,0,0
1,3,1,1,186380.24,13575179.45,13761559.69,415177.15,61800.68,0
1,3,1,4,9777.28,410334,400556.72,0,0,0
1,3,1,2,7314.27,0,0,11768682.64,12959765,0
1,3,1,2,6470.22,0,0,466230.2,652583.13,0
1,3,1,2,137447.85,0,0,1057449.64,1593844.69,0
1,3,1,1,245267.19,7323733.65,7569000.84,1070682.16,1194530.8,0
1,3,1,4,8682.22,18419.58,9737.37,0,0,0
1,3,1,2,178828.03,0,0,2916463.13,3095291.17,0
1,3,1,4,10041.85,97526.52,87484.67,0,0,0
1,3,1,4,7728.58,7017,0,0,0,0
1,3,1,2,262915.63,0,0,346582.6,3939899.41,0
1,3,1,2,166016.36,170649.99,4633.63,418402.61,584418.96,0
1,3,1,2,57826.84,33036,0,12671571.25,13162334.93,0
1,3,1,4,12861.24,47738,34876.76,0,0,0
1,3,1,4,6392.11,87393,81000.89,0,0,0
1,3,1,2,125719.56,0,0,16923655.25,17268500.56,0
1,3,1,4,10907.34,415852.94,404945.59,0,0,0
1,3,1,2,331715.24,21683.35,0,504299.56,609502.49,0
1,3,1,4,6554.67,0,0,0,0,0
1,3,1,4,31332.24,38330.92,6998.69,0,0,0
1,3,1,5,294090.87,0,0,6086365.33,9281535.44,0
1,3,1,2,38423.15,26456.85,0,20853,59276.15,0
1,3,1,1,211692.67,886,212578.67,11297,0,0
1,3,1,2,18465.03,34976,16510.97,40839.71,236293.79,0
1,3,1,4,175.63,0,0,0,0,0
1,3,1,1,349335.65,15383,364718.65,421165.12,572709.54,0
1,3,1,1,12060.96,6227182.02,6239242.99,16697,0,0
1,3,1,4,16547.13,0,0,0,0,0
1,3,1,1,22029.93,5967763.91,5989793.84,40863.24,18833.31,0
1,3,1,4,7787.83,21283.35,13495.53,0,0,0
1,3,1,4,6367.45,257463.96,251096.5,0,0,0
1,3,1,4,1734.31,20852,19117.69,0,0,0
1,3,1,5,1503789.36,0,0,3534759.84,5038549.2,0
1,3,1,5,2032132.6,132,0,1198295.31,3503778.14,0
1,3,1,5,1993624.65,12020,0,0,4093242.37,0
1,3,1,4,10808.71,67818,57009.29,0,0,0
1,3,1,4,40308.35,122,0,0,0,0
1,3,1,4,7908.5,385759.72,377851.23,0,0,0
1,3,1,4,26427.36,113262,86834.64,0,0,0
1,3,1,4,34845.37,0,0,0,0,0
1,3,1,4,21623.17,31066,9442.83,0,0,0
1,3,1,2,88295.03,90563.83,2268.8,458363.86,807759.84,0
1,3,1,4,3892.06,709460.22,705568.16,0,0,0
1,3,1,4,11510.47,174072,162561.53,0,0,0
1,3,1,2,570663.39,583,0,3165404.01,3781973.36,0
1,3,1,2,313891.14,516,0,15304.08,686438.76,0
1,3,1,2,15208.64,0,0,1053819.12,2658931.59,0
1,3,1,4,22290.38,0,0,0,0,0
1,3,1,2,322236.07,0,0,7097354.95,9546432.01,0
1,3,1,4,11221.14,52444.53,41223.38,0,0,0
1,3,1,3,1777.63,7261,5483.37,373838.99,66548.75,0
1,3,1,4,28219.91,36151.38,7931.48,0,0,0
1,3,1,2,24461.49,547,0,44833.94,69295.43,0
1,3,1,2,218466.18,0,0,308682.59,232681.17,0
1,3,1,2,105824.6,20999,0,0,238340.21,0
1,3,1,1,41538.11,50592,92130.11,348760.44,307222.33,0
